,ident,ident_icao,ident_iata,actual_ident,actual_ident_icao,actual_ident_iata,aircraft_type,scheduled_in,scheduled_out,origin,origin_icao,origin_iata,origin_lid,destination,destination_icao,destination_iata,destination_lid,fa_flight_id,meal_service,seats_cabin_business,seats_cabin_coach,seats_cabin_first
0,DLH9737,DLH9737,LH9737,THA466,THA466,TG466,A359,2022-09-30T09:30:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,VTBS,VTBS,BKK,,THA466-1664323740-schedule-1051,Business: Meal / Economy: Meal,32,289,0
1,ANZ1832,ANZ1832,NZ1832,QFA432,QFA432,QF432,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,QFA432-1664323740-schedule-1053,Business: No meal / Economy: No meal,12,162,0
2,VOZ833,VOZ833,VA833,,,,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,VOZ833-1664323740-schedule-1054,"Business: Food for sale, Meal / Economy: Food for sale",8,166,0
3,AUA8636,AUA8636,OS8636,THA466,THA466,TG466,A359,2022-09-30T09:30:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,VTBS,VTBS,BKK,,THA466-1664323740-schedule-1051,Business: Meal / Economy: Meal,32,289,0
4,JST794,JST794,JQ794,,,,A320,2022-09-30T02:20:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YBSU,YBSU,MCY,,JST794-1664323740-schedule-1052,Economy: No meal,0,186,0
5,THY8019,THY8019,TK8019,THA466,THA466,TG466,A359,2022-09-30T09:30:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,VTBS,VTBS,BKK,,THA466-1664323740-schedule-1051,Business: Meal / Economy: Meal,32,289,0
6,QFA5794,QFA5794,QF5794,JST794,JST794,JQ794,A320,2022-09-30T02:20:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YBSU,YBSU,MCY,,JST794-1664323740-schedule-1052,Economy: Food for sale,0,186,0
7,SIA6801,SIA6801,SQ6801,VOZ833,VOZ833,VA833,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,VOZ833-1664323740-schedule-1054,Business: No meal / Economy: No meal,8,166,0
8,ETD6697,ETD6697,EY6697,VOZ833,VOZ833,VA833,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,VOZ833-1664323740-schedule-1054,Business: No meal / Economy: No meal,8,166,0
9,THA466,THA466,TG466,,,,A359,2022-09-30T09:30:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,VTBS,VTBS,BKK,,THA466-1664323740-schedule-1051,Business: Meal / Economy: Meal,32,289,0
10,RXA42,RXA42,ZL42,,,,B738,2022-09-30T01:30:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,RXA42-1664323740-schedule-1055,Business: No meal / Economy: No meal,8,168,0
11,UAE5603,UAE5603,EK5603,QFA432,QFA432,QF432,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,QFA432-1664323740-schedule-1053,Business: Meal / Economy: Meal,12,162,0
12,QFA432,QFA432,QF432,,,,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,QFA432-1664323740-schedule-1053,Business: Hot meal / Economy: Refreshments,12,162,0
13,HAL4103,HAL4103,HA4103,VOZ833,VOZ833,VA833,B738,2022-09-30T01:25:00Z,2022-09-30T00:00:00Z,YMML,YMML,MEL,,YSSY,YSSY,SYD,,VOZ833-1664323740-schedule-1054,Business: No meal / Economy: No meal,8,166,0
